"Информация о тендере","Номер тендера","Регион","Место поставки","Заказчик","ИНН","Тип закупки","Способ размещения","Дата публикации","Дата окончания (МСК)","Начальная цена, руб","Обеспечение контракта, руб","Аванс","Ссылка на источник","Отрасли"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58803186","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","11.03.2022","01.07.2022 9:15","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000234","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58802624","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","11.03.2022","01.07.2022 7:50","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000232","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58802474","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","11.03.2022","01.07.2022 7:10","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000229","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58802435","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","11.03.2022","01.07.2022 7:42","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000230","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58800458","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","11.03.2022","01.07.2022 7:57","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000227","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58800432","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","11.03.2022","01.07.2022 8:05","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000228","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58681764","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 8:15","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000202","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58681158","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:45","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000199","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58681029","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 8:20","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000200","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58681009","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:50","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000201","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678255","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:50","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000190","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678254","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:45","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000191","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678247","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:10","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000193","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678251","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 8:20","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000192","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678248","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:35","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000194","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678244","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:45","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000195","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678245","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 9:05","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000187","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
"Приобретение в муниципальную собственность города Смоленска жилого помещения путём участия в долевом строительстве многоквартирного дома для последующего предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, в целях формирования специализированного жилищного фонда в части включения в него жилых помещений для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в том числе лицам, которые относились к категории детей-сирот и детей, оставшихся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, и достигли возраста 23 лет, по договору найма специализированных жилых помещений","58678242","Смоленская область","г. Смоленск","АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА","6730012070","44-ФЗ","Электронные аукционы","04.03.2022","10.06.2022 7:00","1,900,020","9,500","","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0163300029422000196","Полное строительство и реконструкция зданий и сооружений
Квартиры, офисы и другое недвижимое имущество, услуги по подбору, покупке и продаже Недвижимости"
