Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
Поставка радиатора биметаллического;'222790600071879060100100340012521244';;;184710.60;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВАЛДГЕЙМСКИЙ ДЕТСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ УМСТВЕННО ОТСТАЛЫХ ДЕТЕЙ""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВАЛДГЕЙМСКИЙ ДЕТСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ УМСТВЕННО ОТСТАЛЫХ ДЕТЕЙ""";26.05.2022;03.06.2022;NA
Поставка бытовой техники для нужд отделения милосердия;'223542010379154200100100680030000244';;;23759.78;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ ДОВОЛЕНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ ДОВОЛЕНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ""";26.05.2022;03.06.2022;NA
Поставка наградной продукции для нужд администрации Черемховского районного муниципального образования;'223384300314538510100100160013213244';;;58999.45;RUB;NA;NA;АДМИНИСТРАЦИЯ ЧЕРЕМХОВСКОГО РАЙОННОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ;АДМИНИСТРАЦИЯ ЧЕРЕМХОВСКОГО РАЙОННОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ;26.05.2022;03.06.2022;NA
Поставка хозяйственных товаров;;1;Поставка хозяйственных товаров;240600.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 2""";;25.05.2022;02.06.2022;NA
Поставка рулонных штор с монтажом;'222032304575303260100100090011392611';;;333286.60;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕСПУБЛИКАНСКИЙ ВРАЧЕБНО-ФИЗКУЛЬТУРНЫЙ ДИСПАНСЕР МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ БУРЯТИЯ""";РЕСПУБЛИКАНСКОЕ АГЕНТСТВО ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ;25.05.2022;02.06.2022;NA
"Поставка лекарственного препарата для медицинского применения ""Амиодарон"" для оказания отдельным категориям граждан социальной услуги по обеспечению лекарственными препаратами для медицинского применения по рецептам, а так же специализированными продуктами лечебного питания для детей-инвалидов";'222280112372028010100105830012120323';;;57801.60;RUB;NA;NA;МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ;25.05.2022;03.06.2022;NA
ЭА-№-5819/22 «На поставку лекарственного препарата для медицинского применения Пембролизумаб для нужд КГБУЗ КККОД им. А.И. Крыжановского»;'222246503513724650100102200012120244';;;739655531.64;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКИЙ КРАЕВОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР ИМЕНИ А.И. КРЫЖАНОВСКОГО""";АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;16.05.2022;06.06.2022;NA
Оказание  услуг по проведению специальной оценки условий труда;'222254007679125360100101110017120244';;;45897.54;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПРИМОРСКИЙ ЦЕНТР ЗАНЯТОСТИ НАСЕЛЕНИЯ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПРИМОРСКИЙ ЦЕНТР ЗАНЯТОСТИ НАСЕЛЕНИЯ""";27.05.2022;06.06.2022;NA
Поставка лекарственных препаратов для медицинского применения: Нестероидные противовоспалительные препараты;'222543310776154020100101920012120244';;;208926.50;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ОБЛАСТНАЯ НОВОСИБИРСКАЯ КЛИНИЧЕСКАЯ ТУБЕРКУЛЁЗНАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ОБЛАСТНАЯ НОВОСИБИРСКАЯ КЛИНИЧЕСКАЯ ТУБЕРКУЛЁЗНАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
Поставка перчаток;'222030700413203070100101340012219244';;;7998.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЗАКАМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЗАКАМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";25.05.2022;02.06.2022;NA
Поставка изделий из алюминия (перегородки, двери и окно);'222031400381303140100100740012223611';;;248738.10;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МУХОРШИБИРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МУХОРШИБИРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";30.05.2022;06.06.2022;NA
Поставка рыбы мороженой;;1;Рыба мороженая;2063193.65;RUB;NA;NA;;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ ""БЛАГОВЕЩЕНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";19.05.2022;06.06.2022;NA
Поставка продуктов питания (масло сливочное творог);'223540213965054020100100170011051244';;;205770.60;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""ДЕТСКИЙ САД № 306 ""ЛАСТОЧКА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА НОВОСИБИРСКА ""ДЕТСКИЙ САД № 306 ""ЛАСТОЧКА""";26.05.2022;03.06.2022;NA
Поставка медицинского оборудования: Сканер ультразвуковой для носовых пазух (эхосинускоп);'222820200079182020100100370012660244';;;378073.33;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ТИГИЛЬСКАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ТИГИЛЬСКАЯ РАЙОННАЯ БОЛЬНИЦА""";24.05.2022;01.06.2022;NA
Поставка сантехнических товаров;'222543110401054310100102560010000244';;;3753.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  НОВОСИБИРСКОЙ ОБЛАСТИ ""МАСЛЯНИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  НОВОСИБИРСКОЙ ОБЛАСТИ ""МАСЛЯНИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";27.05.2022;06.06.2022;NA
Поставка металлопродукции;;1;Поставка металлопродукции;602009.52;RUB;NA;NA;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""30 СУДОРЕМОНТНЫЙ ЗАВОД""";;22.04.2022;05.05.2022;NA
Поставка риса;'222380310109738040100102860011061244';;;9308.00;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
Реактивы для бактериологических исследований (потребность 2022) для нужд ГБУЗ РТ Перинатальный центр РТ»;'222170102642517010100100060450000244';;;86461.77;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ТЫВА ""ПЕРИНАТАЛЬНЫЙ ЦЕНТР РЕСПУБЛИКИ ТЫВА""";МИНИСТЕРСТВО РЕСПУБЛИКИ ТЫВА ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;27.05.2022;06.06.2022;NA
Выполнение монтажных и пуско-наладочных работ по подключению дизель-генераторной установки резервного электроснабжения в шумозащитном кожухе на объекте МАОУ СОШ № 2 г.Анива;;1;Выполнение монтажных и пуско-наладочных работ по подключению дизель-генераторной установки резервного электроснабжения в шумозащитном кожухе на объекте МАОУ СОШ № 2 г.Анива;858925.40;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2 Г.АНИВА""";;06.06.2022;;NA
Работы по текущему ремонту помещений Заказчика ;'221540810018454080100100110010000244';;;495409.20;RUB;NA;NA;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ НЕОРГАНИЧЕСКОЙ ХИМИИ ИМ. А.В. НИКОЛАЕВА СИБИРСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ НЕОРГАНИЧЕСКОЙ ХИМИИ ИМ. А.В. НИКОЛАЕВА СИБИРСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК;27.05.2022;06.06.2022;NA
Оказание услуг по оценке земельных участков, иных объектов недвижимости;'223272122854127210100100100016831244';;;200000.00;RUB;NA;NA;ДЕПАРТАМЕНТ АРХИТЕКТУРЫ, СТРОИТЕЛЬСТВА И ЗЕМЛЕПОЛЬЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА ХАБАРОВСКА;АДМИНИСТРАЦИЯ ГОРОДА ХАБАРОВСКА;26.05.2022;03.06.2022;NA
Оказание услуги по обеспечению отдельных категорий граждан лекарственными препаратами, отпускаемых бесплатно по рецептам врачей (региональная льгота) сильнодействующие и наркотические средства;'222410104173041010100100440018690323';;;73304.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК - КАМЧАТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 1""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК - КАМЧАТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 1""";26.05.2022;06.06.2022;NA
Поставка лекарственного препарата для медицинского применения Эсмолол;'222381201469038120100100390582120244';;;439950.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ИРКУТСКАЯ ОРДЕНА ""ЗНАК ПОЧЕТА"" ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ИРКУТСКАЯ ОРДЕНА ""ЗНАК ПОЧЕТА"" ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА";26.05.2022;03.06.2022;NA
Работы по текущему ремонту помещений Заказчика;'221540810018454080100100110020000244';;;203401.20;RUB;NA;NA;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ НЕОРГАНИЧЕСКОЙ ХИМИИ ИМ. А.В. НИКОЛАЕВА СИБИРСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ НЕОРГАНИЧЕСКОЙ ХИМИИ ИМ. А.В. НИКОЛАЕВА СИБИРСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК;27.05.2022;06.06.2022;NA
Поставка  металлопродукции (труба и отводы);;1;Поставка  металлопродукции ( труба и отводы);1502736.00;RUB;NA;NA;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦАВТОХОЗЯЙСТВО ПО САНИТАРНОЙ ОЧИСТКЕ ГОРОДА ХАБАРОВСКА""";;30.05.2022;06.06.2022;NA
Установка противотаранного устройства и поста охраны в МБОУ СОШ пгт. Смирных;'223651400038465140100100100014399244';;;2037195.60;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ПГТ. СМИРНЫХ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ""СМИРНЫХОВСКИЙ"" САХАЛИНСКОЙ ОБЛАСТИ";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ""СМИРНЫХОВСКИЙ"" САХАЛИНСКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ";26.05.2022;06.06.2022;NA
Поставка бензина ;'221490907392749090100100210021920244';;;344140.00;RUB;NA;NA;УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В МАГАДАНСКОЙ ОБЛАСТИ;УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В МАГАДАНСКОЙ ОБЛАСТИ;26.05.2022;03.06.2022;NA
Поставка лекарственного препарата для медицинского применения Октоког альфа;'222381201469038120100100390622120244';;;437500.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ИРКУТСКАЯ ОРДЕНА ""ЗНАК ПОЧЕТА"" ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ИРКУТСКАЯ ОРДЕНА ""ЗНАК ПОЧЕТА"" ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА";26.05.2022;03.06.2022;NA
Осуществление дорожной деятельности в отношении автомобильных дорог общего пользования местного значения (обустройство пешеходных переходов) ;'223790300230879030100100210134211244';;;2035455.00;RUB;NA;NA;АДМИНИСТРАЦИЯ СМИДОВИЧСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ;АДМИНИСТРАЦИЯ СМИДОВИЧСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ;26.05.2022;03.06.2022;NA
Поставка сантехнического оборудования( радиаторов отопления);'222543110401054310100102570012521244';;;13417.50;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  НОВОСИБИРСКОЙ ОБЛАСТИ ""МАСЛЯНИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  НОВОСИБИРСКОЙ ОБЛАСТИ ""МАСЛЯНИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";27.05.2022;06.06.2022;NA
Оказание услуг по техническому сопровождению программного обеспечения Kaspersky Endpoint Security для Windows;'222143533223614350100100040026209242';;;75600.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИНАНСОВОГО СОПРОВОЖДЕНИЯ СИСТЕМЫ ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";26.05.2022;03.06.2022;NA
Поставка технических газов;'221272000713027240100100500022011244';;;142984.00;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ХАБАРОВСКИЙ АВИАЦИОННО-СПАСАТЕЛЬНЫЙ ЦЕНТР МЧС РОССИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ХАБАРОВСКИЙ АВИАЦИОННО-СПАСАТЕЛЬНЫЙ ЦЕНТР МЧС РОССИИ""";30.05.2022;06.06.2022;NA
"Приборы, аппаратура и устройства учебные демонстрационные; Столы письменные деревянные для офисов, административных помещений; Столы обеденные деревянные для столовой и гостиной; Столы ученические деревянные для учебных заведений, включая школьные парты; Зеркала стеклянные; Шкафы офисные деревянные; Стеллажи, стойки, вешалки металлические; Мебель деревянная прочая, не включенная в другие группировки; Мебель для сидения, преимущественно с металлическим каркасом";'223790300308379030100100040013109241';;;7470933.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2 П. НИКОЛАЕВКА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2 П. НИКОЛАЕВКА""";26.05.2022;03.06.2022;NA
Капитальный ремонт здания МКОУ Крутологовская СОШ, расположенного по адресу: ул. Школьная, д. 2, с. Крутологово,Коченевский район, Новосибирская область;'223542510990254250100100080024120243';;;7854814.80;RUB;NA;NA;МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ КРУТОЛОГОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""";25.05.2022;06.06.2022;NA
"Поставка с доставкой молочных продуктов (ряженка) на 2022 год для КГБУЗ ""КМКБСМП им. Н.С. Карповича""";'222246300541924630100104120011051244';;;382200.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ МЕЖРАЙОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ Н.С. КАРПОВИЧА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ МЕЖРАЙОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ Н.С. КАРПОВИЧА""";25.05.2022;03.06.2022;NA
Поставка продуктов питания (овощи) июль-сентябрь 2022 года;'223420300518542500100100150010000244';;;93741.60;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №21 ""БЕЛОСНЕЖКА"" ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ  ДЕЯТЕЛЬНОСТИ ПО ФИЗИЧЕСКОМУ НАПРАВЛЕНИЮ РАЗВИТИЯ ВОСПИТАННИКОВ";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №21 ""БЕЛОСНЕЖКА"" ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ  ДЕЯТЕЛЬНОСТИ ПО ФИЗИЧЕСКОМУ НАПРАВЛЕНИЮ РАЗВИТИЯ ВОСПИТАННИКОВ";25.05.2022;02.06.2022;NA
"Поставка с доставкой продуктов питания  (перец свежий)  на 2022 год для   КГБУЗ ""КМКБСМП им. Н.С.Карповича""";'222246300541924630100104340010113244';;;488800.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ МЕЖРАЙОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ Н.С. КАРПОВИЧА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКАЯ МЕЖРАЙОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ Н.С. КАРПОВИЧА""";26.05.2022;03.06.2022;NA
"Право заключения договора на эксплуатацию имущественного комплекса котельной №1 п. Звездочка для нужд АО ""Теплоэнергосервис"" (Лот № 223.1 ГКПЗ 2022)";;1;"Эксплуатация имущественного комплекса котельной ""№1"" п. Звездочка";6120311.59;RUB;NA;NA;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛОЭНЕРГОСЕРВИС""";;15.04.2022;27.04.2022;NA
Ремонт автомобильной дороги по ул. Весенняя в с. Убинское  Убинского района Новосибирской области;'223543910033954390100100030024211244';;;8201447.47;RUB;NA;NA;АДМИНИСТРАЦИЯ УБИНСКОГО СЕЛЬСОВЕТА УБИНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""";25.05.2022;06.06.2022;NA
Содержание дорог местного значения в границах Венгеровского сельсовета (обустройство пешеходных переходов) в с. Венгерово Венгеровского района Новосибирской области.;'223541910185654190100100090024211244';;;3221082.00;RUB;NA;NA;АДМИНИСТРАЦИЯ ВЕНГЕРОВСКОГО СЕЛЬСОВЕТА ВЕНГЕРОВСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;АДМИНИСТРАЦИЯ ВЕНГЕРОВСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;25.05.2022;02.06.2022;NA
Услуги по обязательному психиатрическому освидетельствованию водителей.;'221540601005554060100100170048621244';;;36000.00;RUB;NA;NA;ПРОКУРАТУРА НОВОСИБИРСКОЙ ОБЛАСТИ;ПРОКУРАТУРА НОВОСИБИРСКОЙ ОБЛАСТИ;24.05.2022;03.06.2022;NA
